ship,port,status,arrivalDate,arrivalTime,departureDate,departureTime,guestCount,crewCount
MS Noordam,Napier,ON SCHEDULE,25/11/2019,12:00:00,25/11/2019,18:00:00,1972,820
Radiance Of The Seas,Wellington,ON SCHEDULE,25/11/2019,08:00:00,25/11/2019,17:00:00,2064,858
Caledonian Sky,White Island,ON SCHEDULE,25/11/2019,06:00:00,25/11/2019,12:30:00,114,74
Celebrity Solstice,Dunedin,ON SCHEDULE,26/11/2019,08:00:00,26/11/2019,17:30:00,2850,1250
Ruby Princess,Dunedin,ON SCHEDULE,26/11/2019,08:00:00,26/11/2019,18:00:00,3034,1174
Caledonian Sky,Napier,ON SCHEDULE,26/11/2019,08:00:00,26/11/2019,18:00:00,114,74
Radiance Of The Seas,Picton,ON SCHEDULE,26/11/2019,08:00:00,26/11/2019,17:00:00,2064,858
MS Noordam,Wellington,ON SCHEDULE,26/11/2019,10:00:00,26/11/2019,23:00:00,1972,820
Ruby Princess,Akaroa,CANCELLED,27/11/2019,08:00:00,27/11/2019,18:00:00,3034,1174
Vasco Da Gama,Auckland,ON SCHEDULE,27/11/2019,07:00:00,27/11/2019,22:00:00,1260,
Golden Princess,Fiordland,CANCELLED,27/11/2019,07:00:00,27/11/2019,16:00:00,2636,1073
MS Noordam,Picton,ON SCHEDULE,27/11/2019,08:00:00,27/11/2019,15:00:00,1972,820
Caledonian Sky,Wellington,ON SCHEDULE,27/11/2019,12:00:00,27/11/2019,22:00:00,114,74
Celebrity Solstice,Wellington,ON SCHEDULE,27/11/2019,12:30:00,27/11/2019,20:00:00,2850,1250
Coral Discoverer,White Island,ON SCHEDULE,27/11/2019,08:00:00,27/11/2019,15:00:00,72,20
MS Noordam,Akaroa,ON SCHEDULE,28/11/2019,07:00:00,28/11/2019,19:00:00,1972,820
Golden Princess,Dunedin,ON SCHEDULE,28/11/2019,08:00:00,28/11/2019,18:00:00,2636,1073
Sea Princess,Fiordland,ON SCHEDULE,28/11/2019,07:00:00,28/11/2019,16:00:00,2016,839
Coral Discoverer,Gisborne,ON SCHEDULE,28/11/2019,07:00:00,28/11/2019,22:00:00,72,20
Caledonian Sky,Kaikoura,ON SCHEDULE,28/11/2019,07:00:00,28/11/2019,19:00:00,114,74
Celebrity Solstice,Picton,ON SCHEDULE,28/11/2019,08:00:00,28/11/2019,17:00:00,2850,1250
Ruby Princess,Wellington,ON SCHEDULE,28/11/2019,08:00:00,28/11/2019,18:00:00,3034,1174
Caledonian Sky,Akaroa,ON SCHEDULE,29/11/2019,07:00:00,29/11/2019,18:00:00,114,74
Golden Princess,Akaroa,ON SCHEDULE,29/11/2019,08:00:00,29/11/2019,18:00:00,2636,1073
MS Noordam,Dunedin,ON SCHEDULE,29/11/2019,08:00:00,29/11/2019,18:00:00,1972,820
Sea Princess,Dunedin,ON SCHEDULE,29/11/2019,08:00:00,29/11/2019,18:00:00,2016,839
Coral Discoverer,Napier,ON SCHEDULE,29/11/2019,07:00:00,29/11/2019,14:00:00,72,20
Ruby Princess,Napier,ON SCHEDULE,29/11/2019,07:00:00,29/11/2019,14:00:00,3034,1174
Sea Princess,Akaroa,ON SCHEDULE,30/11/2019,08:00:00,30/11/2019,18:00:00,2016,839
Ovation Of The Seas,Auckland,ON SCHEDULE,30/11/2019,08:00:00,30/11/2019,17:00:00,4180,1500
Caledonian Sky,Dunedin,ON SCHEDULE,30/11/2019,08:00:00,30/11/2019,18:30:00,114,74
MS Noordam,Fiordland,ON SCHEDULE,30/11/2019,07:00:00,30/11/2019,17:00:00,1972,820
Coral Discoverer,Ships Cove,ON SCHEDULE,30/11/2019,14:00:00,01/12/2019,12:00:00,72,20
Celebrity Solstice,Tauranga,ON SCHEDULE,30/11/2019,08:00:00,01/12/2019,19:00:00,2850,1250
Ruby Princess,Tauranga,ON SCHEDULE,30/11/2019,07:00:00,30/11/2019,18:30:00,3034,1174
Golden Princess,Wellington,ON SCHEDULE,30/11/2019,07:00:00,30/11/2019,16:00:00,2636,1073
Ruby Princess,Auckland,ON SCHEDULE,01/12/2019,07:00:00,01/12/2019,18:00:00,3034,1174
Ovation Of The Seas,Bay Of Islands,ON SCHEDULE,01/12/2019,08:00:00,01/12/2019,17:00:00,4180,1500
Golden Princess,Napier,ON SCHEDULE,01/12/2019,07:00:00,01/12/2019,14:00:00,2636,1073
Caledonian Sky,Stewart Island,ON SCHEDULE,01/12/2019,08:00:00,01/12/2019,19:00:00,114,74
Sea Princess,Wellington,ON SCHEDULE,01/12/2019,07:00:00,01/12/2019,17:00:00,2016,839
Celebrity Solstice,Auckland,ON SCHEDULE,02/12/2019,06:30:00,02/12/2019,18:00:00,2850,1250
Ruby Princess,Bay Of Islands,ON SCHEDULE,02/12/2019,07:00:00,02/12/2019,17:00:00,3034,1174
Caledonian Sky,Fiordland,ON SCHEDULE,02/12/2019,06:30:00,03/12/2020,05:00:00,114,74
